Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
2267,20.629,20260207_212739,597,Right,Operation,27.7,5,True,760,299
2268,20.698,20260207_212739,599,Left,Operation,9.9,5,True,381,324
2269,20.698,20260207_212739,599,Right,Operation,23.2,5,True,776,348
2270,20.767,20260207_212739,601,Left,Operation,7.0,5,True,388,329
2271,20.767,20260207_212739,601,Right,Operation,18.8,5,True,786,364
2272,20.836,20260207_212739,603,Left,Operation,8.8,5,True,406,343
2273,20.836,20260207_212739,603,Right,Operation,11.1,5,True,792,370
2274,20.905,20260207_212739,605,Left,Operation,9.3,5,True,426,346
2275,20.905,20260207_212739,605,Right,Operation,4.8,5,True,796,377
2276,20.974,20260207_212739,607,Left,Operation,9.3,5,True,438,345
2277,20.974,20260207_212739,607,Right,Operation,5.2,5,True,797,390
2278,21.043,20260207_212739,609,Left,Operation,6.1,5,True,435,339
2279,21.043,20260207_212739,609,Right,Operation,5.2,5,True,800,399
2280,21.113,20260207_212739,611,Left,Operation,7.0,4,True,415,344
2281,21.113,20260207_212739,611,Right,Operation,5.9,5,True,804,409
2282,21.182,20260207_212739,613,Left,Operation,7.2,5,True,426,342
2283,21.182,20260207_212739,613,Right,Operation,4.3,5,True,806,414
2284,21.251,20260207_212739,615,Left,Operation,5.0,5,True,430,345
2285,21.251,20260207_212739,615,Right,Operation,3.7,5,True,801,412
2286,21.320,20260207_212739,617,Left,Operation,3.9,5,True,429,354
2287,21.320,20260207_212739,617,Right,Operation,2.5,5,True,799,411
2288,21.389,20260207_212739,619,Left,Operation,4.4,5,True,421,358
2289,21.389,20260207_212739,619,Right,Operation,1.6,5,True,799,408
2290,21.458,20260207_212739,621,Left,Operation,5.9,5,True,411,368
2291,21.458,20260207_212739,621,Right,Operation,2.0,5,True,799,402
2292,21.527,20260207_212739,623,Left,Operation,5.6,5,True,413,362
2293,21.527,20260207_212739,623,Right,Operation,2.6,5,True,799,397
2294,21.596,20260207_212739,625,Left,Operation,3.8,5,True,409,369
2295,21.596,20260207_212739,625,Right,Operation,1.6,5,True,797,397
2296,21.665,20260207_212739,627,Left,Operation,5.9,3,True,403,383
2297,21.665,20260207_212739,627,Right,Operation,1.3,4,True,796,398
2298,21.735,20260207_212739,629,Left,Operation,6.2,3,True,407,391
2299,21.735,20260207_212739,629,Right,Operation,0.8,5,True,797,399
2300,21.804,20260207_212739,631,Left,Operation,5.4,4,True,414,399
2301,21.804,20260207_212739,631,Right,Delay,1.3,4,True,794,403
2302,21.873,20260207_212739,633,Left,Operation,4.7,4,True,419,407
2303,21.873,20260207_212739,633,Right,Delay,1.7,5,True,792,405
2304,21.942,20260207_212739,635,Left,Operation,5.3,4,True,422,417
2305,21.942,20260207_212739,635,Right,Delay,1.7,4,True,793,407
2306,22.011,20260207_212739,637,Left,Operation,4.2,4,True,424,422
2307,22.011,20260207_212739,637,Right,Delay,1.5,5,True,790,410
2308,22.080,20260207_212739,639,Left,Operation,3.6,4,True,423,429
2309,22.080,20260207_212739,639,Right,Delay,1.5,5,True,790,412
2310,22.149,20260207_212739,641,Left,Operation,2.7,4,True,422,430
2311,22.149,20260207_212739,641,Right,Delay,1.2,5,True,791,412
2312,22.218,20260207_212739,643,Left,Operation,1.7,4,True,423,430
2313,22.218,20260207_212739,643,Right,Delay,1.4,4,True,796,411
2314,22.287,20260207_212739,645,Left,Operation,1.5,3,True,422,425
2315,22.287,20260207_212739,645,Right,Operation,6.1,4,True,797,387
2316,22.357,20260207_212739,647,Left,Operation,8.8,4,True,431,387
2317,22.357,20260207_212739,647,Right,Operation,18.4,5,True,764,334
2318,22.426,20260207_212739,649,Left,Operation,19.0,3,True,423,335
2319,22.426,20260207_212739,649,Right,Operation,29.5,3,True,757,262
2320,22.495,20260207_212739,651,Left,Operation,27.3,2,True,396,277
2321,22.495,20260207_212739,651,Right,Operation,34.1,1,True,788,200
2322,22.564,20260207_212739,653,Left,Transport,32.5,0,False,340,235
2323,22.564,20260207_212739,653,Right,Transport,38.5,0,False,869,173
2324,22.633,20260207_212739,655,Left,Transport,44.5,0,False,225,240
2325,22.633,20260207_212739,655,Right,Transport,51.7,0,False,999,206
2326,22.702,20260207_212739,657,Left,Transport,49.8,0,False,140,280
2327,22.702,20260207_212739,657,Right,Transport,53.7,0,False,1062,257
2328,22.771,20260207_212739,659,Left,Transport,45.0,0,False,137,335
2329,22.771,20260207_212739,659,Right,Transport,41.3,0,False,1073,296
2330,22.840,20260207_212739,661,Left,Transport,27.8,0,False,171,361
2331,22.840,20260207_212739,661,Right,Transport,18.8,0,False,1079,321
2332,22.909,20260207_212739,663,Left,Transport,17.8,0,False,192,360
2333,22.909,20260207_212739,663,Right,Transport,9.5,0,False,1080,326
2334,22.979,20260207_212739,665,Left,Transport,9.3,0,False,198,359
2335,22.979,20260207_212739,665,Right,Transport,4.5,0,False,1088,327
2336,23.048,20260207_212739,667,Left,Transport,3.6,0,False,200,357
2337,23.048,20260207_212739,667,Right,Transport,3.2,0,False,1091,332
2338,23.117,20260207_212739,669,Left,Transport,1.8,0,False,203,359
2339,23.117,20260207_212739,669,Right,Transport,3.7,0,False,1089,335
2340,23.186,20260207_212739,671,Left,Transport,2.0,0,False,204,363
2341,23.186,20260207_212739,671,Right,Transport,4.5,0,False,1093,337
2342,23.255,20260207_212739,673,Left,Transport,2.4,0,False,200,364
2343,23.255,20260207_212739,673,Right,Transport,5.2,0,False,1101,343
2344,23.324,20260207_212739,675,Left,Transport,3.1,0,False,192,367
2345,23.324,20260207_212739,675,Right,Transport,6.5,0,False,1115,354
2346,23.393,20260207_212739,677,Left,Transport,5.0,0,False,179,363
2347,23.393,20260207_212739,677,Right,Transport,7.1,0,False,1118,366
2348,23.462,20260207_212739,679,Left,Transport,7.7,0,False,159,359
2349,23.462,20260207_212739,679,Right,Transport,5.3,0,False,1120,363
2350,23.531,20260207_212739,681,Left,Transport,10.4,0,False,136,351
2351,23.531,20260207_212739,681,Right,Transport,3.8,0,False,1117,358
2352,23.601,20260207_212739,683,Left,Transport,10.4,0,False,120,347
2353,23.601,20260207_212739,683,Right,Transport,3.1,0,False,1114,364
2354,23.670,20260207_212739,685,Left,Transport,7.7,0,False,121,338
2355,23.670,20260207_212739,685,Right,Transport,4.9,0,False,1111,352
2356,23.739,20260207_212739,687,Left,Transport,6.8,0,False,132,321
2357,23.739,20260207_212739,687,Right,Transport,12.1,0,False,1077,326
2358,23.808,20260207_212739,689,Left,Transport,12.2,0,False,164,310
2359,23.808,20260207_212739,689,Right,Transport,23.5,0,False,1027,284
2360,23.877,20260207_212739,691,Left,Transport,18.0,0,False,203,293
2361,23.877,20260207_212739,691,Right,Transport,29.2,0,False,983,248
2362,23.946,20260207_212739,693,Left,Transport,22.4,0,False,253,274
2363,23.946,20260207_212739,693,Right,Transport,30.5,0,False,928,233
2364,24.015,20260207_212739,695,Left,Transport,25.3,0,False,297,261
2365,24.015,20260207_212739,695,Right,Transport,23.3,1,True,895,241
2366,24.084,20260207_212739,697,Left,Transport,23.9,1,True,342,258
2367,24.084,20260207_212739,697,Right,Transport,22.0,4,True,852,262
2368,24.153,20260207_212739,699,Left,Transport,21.4,3,True,381,267
2369,24.153,20260207_212739,699,Right,Transport,23.5,5,True,805,289
2370,24.222,20260207_212739,701,Left,Operation,18.4,4,True,410,278
2371,24.222,20260207_212739,701,Right,Operation,22.0,5,True,774,300
2372,24.292,20260207_212739,703,Left,Operation,14.6,5,True,423,293
2373,24.292,20260207_212739,703,Right,Operation,16.1,5,True,756,310
2374,24.361,20260207_212739,705,Left,Operation,9.8,5,True,430,308
2375,24.361,20260207_212739,705,Right,Operation,9.3,5,True,754,322
2376,24.430,20260207_212739,707,Left,Operation,8.1,5,True,442,316
2377,24.430,20260207_212739,707,Right,Operation,8.1,5,True,761,340
2378,24.499,20260207_212739,709,Left,Operation,6.4,5,True,448,323
2379,24.499,20260207_212739,709,Right,Operation,8.6,5,True,770,354
2380,24.568,20260207_212739,711,Left,Operation,5.7,4,True,440,331
2381,24.568,20260207_212739,711,Right,Operation,7.5,5,True,779,359
